PROV_NAME,population
กรุงเทพมหานคร,5456000
นครราชสีมา,2620000
อุบลราชธานี,1868000
เชียงใหม่,1799000
ขอนแก่น,1772000
ชลบุรี,1636000
บุรีรัมย์,1566000
อุดรธานี,1552000
นครศรีธรรมราช,1535000
ศรีสะเกษ,1442000
สงขลา,1431000
สมุทรปราการ,1381000
สุรินทร์,1360000
นนทบุรี,1318000
เชียงราย,1298000
ร้อยเอ็ด,1276000
ปทุมธานี,1236000
สกลนคร,1138000
ชัยภูมิ,1106000
สุราษฎร์ธานี,1077000
นครสวรรค์,1014000
กาฬสินธุ์,962000
เพชรบูรณ์,961000
มหาสารคาม,930000
นครปฐม,926000
กาญจนบุรี,896000
ราชบุรี,864000
พิษณุโลก,839000
นราธิวาส,824000
พระนครศรีอยุธยา,823000
สุพรรณบุรี,822000
ระยอง,782000
ปัตตานี,741000
ฉะเชิงเทรา,733000
ลพบุรี,725000
นครพนม,711000
ลำปาง,704000
กำแพงเพชร,701000
ตาก,699000
สระบุรี,639000
ตรัง,635000
เลย,632000
สมุทรสาคร,591000
สุโขทัย,573000
สระแก้ว,562000
ยะลา,553000
ประจวบคีรีขันธ์,552000
จันทบุรี,536000
ยโสธร,525000
พัทลุง,519000
พิจิตร,517000
หนองคาย,512000
ชุมพร,508000
หนองบัวลำภู,504000
ปราจีนบุรี,501000
เพชรบุรี,484100
กระบี่,484000
น่าน,471000
พะเยา,455000
อุตรดิตถ์,436000
ภูเก็ต,430000
แพร่,422000
บึงกาฬ,419000
ลำพูน,397000
อำนาจเจริญ,372000
มุกดาหาร,351000
สตูล,325000
อุทัยธานี,320000
ชัยนาท,314000
แม่ฮ่องสอน,288000
อ่างทอง,269000
พังงา,266000
นครนายก,260000
ตราด,227000
สิงห์บุรี,200000
ระนอง,193000
สมุทรสงคราม,187000
