budget_year,REG_ONCB,REG_NAME,PROV_ID,PROV_NAME,complainAll,complainAll_action,percentActionAll,complain_area,complain_area_action,percentActionArea,complain_per,complain_per_action,percentActionPerson
2558,01,ปปส.ภาค 1,11,สมุทรปราการ,575,363,63.13,201,131,65.17,374,232,62.03
2558,01,ปปส.ภาค 1,12,นนทบุรี,553,194,35.08,219,60,27.4,334,134,40.12
2558,01,ปปส.ภาค 1,13,ปทุมธานี,518,453,87.45,203,175,86.21,315,278,88.25
2558,01,ปปส.ภาค 1,14,พระนครศรีอยุธยา,393,294,74.81,69,48,69.57,324,246,75.93
2558,01,ปปส.ภาค 1,15,อ่างทอง,56,49,87.5,10,9,90,46,40,86.96
2558,01,ปปส.ภาค 1,16,ลพบุรี,205,162,79.02,45,35,77.78,160,127,79.38
2558,01,ปปส.ภาค 1,17,สิงห์บุรี,97,62,63.92,14,7,50,83,55,66.27
2558,01,ปปส.ภาค 1,18,ชัยนาท,36,30,83.33,7,6,85.71,29,24,82.76
2558,01,ปปส.ภาค 1,19,สระบุรี,241,150,62.24,63,37,58.73,178,113,63.48
2558,02,ปปส.ภาค 2,20,ชลบุรี,359,349,97.21,98,98,100,261,251,96.17
2558,02,ปปส.ภาค 2,21,ระยอง,299,291,97.32,68,68,100,231,223,96.54
2558,02,ปปส.ภาค 2,22,จันทบุรี,54,53,98.15,10,10,100,44,43,97.73
2558,02,ปปส.ภาค 2,23,ตราด,15,13,86.67,3,3,100,12,10,83.33
2558,02,ปปส.ภาค 2,24,ฉะเชิงเทรา,130,125,96.15,36,36,100,94,89,94.68
2558,02,ปปส.ภาค 2,25,ปราจีนบุรี,154,142,92.21,25,24,96,129,118,91.47
2558,02,ปปส.ภาค 2,26,นครนายก,109,101,92.66,20,18,90,89,83,93.26
2558,02,ปปส.ภาค 2,27,สระแก้ว,59,53,89.83,11,11,100,48,42,87.5
2558,03,ปปส.ภาค 3,30,นครราชสีมา,221,219,99.1,34,33,97.06,187,186,99.47
2558,03,ปปส.ภาค 3,31,บุรีรัมย์,110,110,100,13,13,100,97,97,100
2558,03,ปปส.ภาค 3,32,สุรินทร์,66,66,100,8,8,100,58,58,100
2558,03,ปปส.ภาค 3,33,ศรีสะเกษ,133,133,100,23,23,100,110,110,100
2558,03,ปปส.ภาค 3,34,อุบลราชธานี,239,239,100,30,30,100,209,209,100
2558,03,ปปส.ภาค 3,35,ยโสธร,78,78,100,12,12,100,66,66,100
2558,03,ปปส.ภาค 3,36,ชัยภูมิ,119,118,99.16,18,17,94.44,101,101,100
2558,03,ปปส.ภาค 3,37,อำนาจเจริญ,43,42,97.67,7,6,85.71,36,36,100
2558,04,ปปส.ภาค 4,38,บึงกาฬ,55,53,96.36,7,7,100,48,46,95.83
2558,04,ปปส.ภาค 4,39,หนองบัวลำภู,16,16,100,2,2,100,14,14,100
2558,04,ปปส.ภาค 4,40,ขอนแก่น,226,175,77.43,27,6,22.22,199,169,84.92
2558,04,ปปส.ภาค 4,41,อุดรธานี,183,130,71.04,27,19,70.37,156,111,71.15
2558,04,ปปส.ภาค 4,42,เลย,83,83,100,9,9,100,74,74,100
2558,04,ปปส.ภาค 4,43,หนองคาย,39,39,100,6,6,100,33,33,100
2558,04,ปปส.ภาค 4,44,มหาสารคาม,72,68,94.44,5,2,40,67,66,98.51
2558,04,ปปส.ภาค 4,45,ร้อยเอ็ด,104,101,97.12,11,9,81.82,93,92,98.92
2558,04,ปปส.ภาค 4,46,กาฬสินธุ์,164,127,77.44,26,7,26.92,138,120,86.96
2558,04,ปปส.ภาค 4,47,สกลนคร,113,113,100,21,21,100,92,92,100
2558,04,ปปส.ภาค 4,48,นครพนม,76,66,86.84,12,11,91.67,64,55,85.94
2558,04,ปปส.ภาค 4,49,มุกดาหาร,44,43,97.73,4,4,100,40,39,97.5
2558,05,ปปส.ภาค 5,50,เชียงใหม่,238,232,97.48,47,43,91.49,191,189,98.95
2558,05,ปปส.ภาค 5,51,ลำพูน,91,74,81.32,19,11,57.89,72,63,87.5
2558,05,ปปส.ภาค 5,52,ลำปาง,139,117,84.17,24,20,83.33,115,97,84.35
2558,05,ปปส.ภาค 5,54,แพร่,66,66,100,11,11,100,55,55,100
2558,05,ปปส.ภาค 5,55,น่าน,94,85,90.43,10,10,100,84,75,89.29
2558,05,ปปส.ภาค 5,56,พะเยา,43,41,95.35,2,0,0,41,41,100
2558,05,ปปส.ภาค 5,57,เชียงราย,159,97,61.01,28,16,57.14,131,81,61.83
2558,05,ปปส.ภาค 5,58,แม่ฮ่องสอน,30,28,93.33,5,4,80,25,24,96
2558,06,ปปส.ภาค 6,53,อุตรดิตถ์,89,89,100,12,12,100,77,77,100
2558,06,ปปส.ภาค 6,60,นครสวรรค์,248,248,100,45,45,100,203,203,100
2558,06,ปปส.ภาค 6,61,อุทัยธานี,16,16,100,2,2,100,14,14,100
2558,06,ปปส.ภาค 6,62,กำแพงเพชร,69,69,100,9,9,100,60,60,100
2558,06,ปปส.ภาค 6,63,ตาก,32,32,100,3,3,100,29,29,100
2558,06,ปปส.ภาค 6,64,สุโขทัย,81,81,100,17,17,100,64,64,100
