PROV_ID,PROV_NAME,NEWS_MONTH_NAME,NEWS_MONTH_CODE,NEWS_YEAR,COMPLAIN_ALL,ALL1,ALL2,ALL3,ALL123,FOUNDS,F1,F2,F3,F123,NOTFOUNDS,NF1,NF2,NF3,NF123,UNKNOW,U1,U2,U3,U123,PLACE,P1,P2,P3,P123,AREA,A1,A2,A3,A123
62,กำแพงเพชร,มกราคม,01,2560,7,5,1,1,7,0,0,0,0,0,3,2,1,0,3,4,3,0,1,4,0,0,0,0,0,0,0,0,0,0
63,ตาก,มกราคม,01,2560,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
73,นครปฐม,มกราคม,01,2560,8,0,6,2,8,0,0,0,0,0,3,0,3,0,3,2,0,0,2,2,1,0,1,0,1,2,0,2,0,2
60,นครสวรรค์,มกราคม,01,2560,25,8,17,0,25,4,2,2,0,4,8,3,5,0,8,11,3,8,0,11,1,0,1,0,1,1,0,1,0,1
55,น่าน,มกราคม,01,2560,21,10,9,2,21,2,1,1,0,2,5,3,2,0,5,14,6,6,2,14,0,0,0,0,0,0,0,0,0,0
56,พะเยา,มกราคม,01,2560,3,2,1,0,3,0,0,0,0,0,2,2,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
54,แพร่,มกราคม,01,2560,6,3,2,1,6,0,0,0,0,0,4,2,1,1,4,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0
49,มุกดาหาร,มกราคม,01,2560,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,ยโสธร,มกราคม,01,2560,18,18,0,0,18,1,1,0,0,1,8,8,0,0,8,8,8,0,0,8,1,1,0,0,1,0,0,0,0,0
45,ร้อยเอ็ด,มกราคม,01,2560,30,4,14,12,30,6,3,3,0,6,12,1,10,1,12,11,0,0,11,11,1,0,1,0,1,0,0,0,0,0
27,สระแก้ว,มกราคม,01,2560,5,0,3,2,5,1,0,0,1,1,0,0,0,0,0,3,0,2,1,3,0,0,0,0,0,1,0,1,0,1
84,สุราษฎร์ธานี,มกราคม,01,2560,8,2,6,0,8,1,1,0,0,1,3,0,3,0,3,3,1,2,0,3,0,0,0,0,0,1,0,1,0,1
37,อำนาจเจริญ,มกราคม,01,2560,4,4,0,0,4,0,0,0,0,0,1,1,0,0,1,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0
61,อุทัยธานี,มกราคม,01,2560,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,ชัยนาท,มกราคม,01,2560,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
36,ชัยภูมิ,มกราคม,01,2560,8,7,0,1,8,2,2,0,0,2,1,1,0,0,1,5,4,0,1,5,0,0,0,0,0,0,0,0,0,0
50,เชียงใหม่,มกราคม,01,2560,23,7,13,3,23,3,2,0,1,3,12,5,6,1,12,6,0,5,1,6,1,0,1,0,1,1,0,1,0,1
26,นครนายก,มกราคม,01,2560,13,1,5,7,13,4,1,2,1,4,4,0,2,2,4,3,0,0,3,3,0,0,0,0,0,2,0,1,1,2
80,นครศรีธรรมราช,มกราคม,01,2560,5,0,4,1,5,1,0,1,0,1,2,0,2,0,2,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0
96,นราธิวาส,มกราคม,01,2560,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,1,1,0,0,1,0,0,0,0,0
85,ระนอง,มกราคม,01,2560,4,1,2,1,4,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,1,1,0,2,1,0,1,0,1
52,ลำปาง,มกราคม,01,2560,25,8,12,5,25,4,1,2,1,4,9,5,4,0,9,12,2,6,4,12,0,0,0,0,0,0,0,0,0,0
51,ลำพูน,มกราคม,01,2560,10,7,3,0,10,1,1,0,0,1,2,1,1,0,2,6,4,2,0,6,1,1,0,0,1,0,0,0,0,0
33,ศรีสะเกษ,มกราคม,01,2560,14,13,0,1,14,1,1,0,0,1,5,5,0,0,5,7,6,0,1,7,0,0,0,0,0,1,1,0,0,1
90,สงขลา,มกราคม,01,2560,22,7,14,1,22,1,1,0,0,1,3,0,3,0,3,15,5,10,0,15,2,1,0,1,2,1,0,1,0,1
74,สมุทรสาคร,มกราคม,01,2560,21,5,6,10,21,1,1,0,0,1,1,0,1,0,1,10,0,0,10,10,2,0,2,0,2,7,4,3,0,7
72,สุพรรณบุรี,มกราคม,01,2560,17,3,4,10,17,3,3,0,0,3,3,0,3,0,3,10,0,0,10,10,1,0,1,0,1,0,0,0,0,0
41,อุดรธานี,มกราคม,01,2560,14,2,6,6,14,2,1,1,0,2,4,1,3,0,4,7,0,1,6,7,1,0,1,0,1,0,0,0,0,0
81,กระบี่,มกราคม,01,2560,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,ขอนแก่น,มกราคม,01,2560,33,10,9,14,33,2,2,0,0,2,13,6,6,1,13,14,1,1,12,14,2,1,1,0,2,2,0,1,1,2
20,ชลบุรี,มกราคม,01,2560,48,4,25,19,48,7,1,2,4,7,14,0,9,5,14,18,3,7,8,18,4,0,2,2,4,5,0,5,0,5
86,ชุมพร,มกราคม,01,2560,9,0,3,6,9,0,0,0,0,0,2,0,2,0,2,5,0,0,5,5,2,0,1,1,2,0,0,0,0,0
92,ตรัง,มกราคม,01,2560,9,4,5,0,9,1,0,1,0,1,1,0,1,0,1,6,4,2,0,6,1,0,1,0,1,0,0,0,0,0
48,นครพนม,มกราคม,01,2560,12,2,4,6,12,1,1,0,0,1,2,1,1,0,2,8,0,2,6,8,1,0,1,0,1,0,0,0,0,0
12,นนทบุรี,มกราคม,01,2560,40,8,23,9,40,5,1,4,0,5,10,2,5,3,10,18,3,9,6,18,1,0,1,0,1,6,2,4,0,6
13,ปทุมธานี,มกราคม,01,2560,53,19,29,5,53,9,4,4,1,9,4,2,2,0,4,21,11,6,4,21,9,0,9,0,9,10,2,8,0,10
14,พระนครศรีอยุธยา,มกราคม,01,2560,36,13,15,8,36,4,2,2,0,4,10,4,4,2,10,18,5,7,6,18,1,0,1,0,1,3,2,1,0,3
71,กาญจนบุรี,มกราคม,01,2560,13,0,4,9,13,0,0,0,0,0,2,0,2,0,2,9,0,0,9,9,1,0,1,0,1,1,0,1,0,1
46,กาฬสินธุ์,มกราคม,01,2560,12,1,2,9,12,0,0,0,0,0,3,1,2,0,3,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0
22,จันทบุรี,มกราคม,01,2560,7,2,1,4,7,0,0,0,0,0,2,2,0,0,2,5,0,1,4,5,0,0,0,0,0,0,0,0,0,0
44,มหาสารคาม,มกราคม,01,2560,6,2,4,0,6,1,1,0,0,1,2,1,1,0,2,2,0,2,0,2,1,0,1,0,1,0,0,0,0,0
70,ราชบุรี,มกราคม,01,2560,14,2,6,6,14,2,2,0,0,2,5,0,5,0,5,6,0,0,6,6,1,0,1,0,1,0,0,0,0,0
16,ลพบุรี,มกราคม,01,2560,10,4,6,0,10,3,2,1,0,3,4,1,3,0,4,1,0,1,0,1,2,1,1,0,2,0,0,0,0,0
11,สมุทรปราการ,มกราคม,01,2560,31,16,11,4,31,4,3,0,1,4,5,1,3,1,5,11,6,3,2,11,2,1,1,0,2,9,5,4,0,9
82,พังงา,มกราคม,01,2560,2,1,1,0,2,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,พัทลุง,มกราคม,01,2560,4,0,4,0,4,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
21,ระยอง,มกราคม,01,2560,16,2,11,3,16,0,0,0,0,0,5,1,4,0,5,10,1,6,3,10,0,0,0,0,0,1,0,1,0,1
47,สกลนคร,มกราคม,01,2560,14,3,4,7,14,2,2,0,0,2,2,1,1,0,2,9,0,2,7,9,1,0,1,0,1,0,0,0,0,0
19,สระบุรี,มกราคม,01,2560,27,3,19,5,27,3,1,2,0,3,4,1,2,1,4,15,0,11,4,15,3,1,2,0,3,2,0,2,0,2
17,สิงห์บุรี,มกราคม,01,2560,2,0,2,0,2,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
15,อ่างทอง,มกราคม,01,2560,7,3,3,1,7,1,0,1,0,1,1,1,0,0,1,3,1,2,0,3,2,1,0,1,2,0,0,0,0,0
30,นครราชสีมา,มกราคม,01,2560,11,9,2,0,11,4,4,0,0,4,2,1,1,0,2,3,3,0,0,3,1,1,0,0,1,1,0,1,0,1
77,ประจวบคีรีขันธ์,มกราคม,01,2560,24,2,5,17,24,2,2,0,0,2,5,0,5,0,5,17,0,0,17,17,0,0,0,0,0,0,0,0,0,0
25,ปราจีนบุรี,มกราคม,01,2560,14,2,11,1,14,1,1,0,0,1,4,0,4,0,4,9,1,7,1,9,0,0,0,0,0,0,0,0,0,0
66,พิจิตร,มกราคม,01,2560,8,3,5,0,8,0,0,0,0,0,5,2,3,0,5,2,0,2,0,2,1,1,0,0,1,0,0,0,0,0
76,เพชรบุรี,มกราคม,01,2560,9,2,1,6,9,2,2,0,0,2,1,0,1,0,1,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0
67,เพชรบูรณ์,มกราคม,01,2560,11,4,5,2,11,2,1,1,0,2,4,0,4,0,4,3,1,0,2,3,2,2,0,0,2,0,0,0,0,0
75,สมุทรสงคราม,มกราคม,01,2560,10,3,4,3,10,1,1,0,0,1,3,0,3,0,3,4,1,0,3,4,0,0,0,0,0,2,1,1,0,2
64,สุโขทัย,มกราคม,01,2560,11,7,0,4,11,4,2,0,2,4,3,3,0,0,3,2,1,0,1,2,2,1,0,1,2,0,0,0,0,0
43,หนองคาย,มกราคม,01,2560,3,0,1,2,3,0,0,0,0,0,0,0,0,0,0,3,0,1,2,3,0,0,0,0,0,0,0,0,0,0
39,หนองบัวลำภู,มกราคม,01,2560,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
34,อุบลราชธานี,มกราคม,01,2560,13,13,0,0,13,2,2,0,0,2,2,2,0,0,2,8,8,0,0,8,0,0,0,0,0,1,1,0,0,1
32,สุรินทร์,มกราคม,01,2560,3,1,2,0,3,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0
10,กรุงเทพมหานคร,มกราคม,01,2560,277,27,148,99,274,26,3,9,14,26,26,2,13,11,26,143,16,59,65,140,33,6,22,5,33,49,0,45,4,49
24,ฉะเชิงเทรา,มกราคม,01,2560,5,0,3,2,5,0,0,0,0,0,2,0,1,1,2,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1
57,เชียงราย,มกราคม,01,2560,8,3,3,2,8,4,2,1,1,4,1,1,0,0,1,2,0,1,1,2,0,0,0,0,0,1,0,1,0,1
23,ตราด,มกราคม,01,2560,2,0,1,1,2,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,บึงกาฬ,มกราคม,01,2560,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0
31,บุรีรัมย์,มกราคม,01,2560,12,12,0,0,12,1,1,0,0,1,1,1,0,0,1,8,8,0,0,8,0,0,0,0,0,2,2,0,0,2
65,พิษณุโลก,มกราคม,01,2560,3,1,2,0,3,0,0,0,0,0,2,1,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
42,เลย,มกราคม,01,2560,5,0,1,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,4,5,0,0,0,0,0,0,0,0,0,0
53,อุตรดิตถ์,มกราคม,01,2560,6,6,0,0,6,0,0,0,0,0,4,4,0,0,4,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1
57,เชียงราย,กุมภาพันธ์,02,2560,4,1,1,2,4,1,1,0,0,1,2,0,0,2,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
23,ตราด,กุมภาพันธ์,02,2560,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,0,0,1,1,0,0,0,0,0
63,ตาก,กุมภาพันธ์,02,2560,5,1,3,1,5,0,0,0,0,0,2,1,1,0,2,3,0,2,1,3,0,0,0,0,0,0,0,0,0,0
96,นราธิวาส,กุมภาพันธ์,02,2560,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
31,บุรีรัมย์,กุมภาพันธ์,02,2560,22,22,0,0,22,1,1,0,0,1,1,1,0,0,1,19,19,0,0,19,1,1,0,0,1,0,0,0,0,0
44,มหาสารคาม,กุมภาพันธ์,02,2560,13,2,5,6,13,1,1,0,0,1,5,1,4,0,5,6,0,0,6,6,1,0,1,0,1,0,0,0,0,0
58,แม่ฮ่องสอน,กุมภาพันธ์,02,2560,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,อ่างทอง,กุมภาพันธ์,02,2560,18,4,12,2,18,4,1,3,0,4,0,0,0,0,0,11,1,9,1,11,3,2,0,1,3,0,0,0,0,0
53,อุตรดิตถ์,กุมภาพันธ์,02,2560,10,7,3,0,10,3,3,0,0,3,2,1,1,0,2,3,2,1,0,3,2,1,1,0,2,0,0,0,0,0
40,ขอนแก่น,กุมภาพันธ์,02,2560,16,2,3,11,16,1,1,0,0,1,4,1,2,1,4,10,0,0,10,10,0,0,0,0,0,1,0,1,0,1
22,จันทบุรี,กุมภาพันธ์,02,2560,7,2,3,2,7,1,0,1,0,1,1,1,0,0,1,5,1,2,2,5,0,0,0,0,0,0,0,0,0,0
20,ชลบุรี,กุมภาพันธ์,02,2560,49,8,33,8,49,9,2,5,2,9,9,2,5,2,9,19,1,14,4,19,3,2,1,0,3,9,1,8,0,9
50,เชียงใหม่,กุมภาพันธ์,02,2560,19,3,10,6,19,1,0,1,0,1,3,1,1,1,3,10,2,5,3,10,4,0,2,2,4,1,0,1,0,1
73,นครปฐม,กุมภาพันธ์,02,2560,16,2,6,8,16,2,2,0,0,2,1,0,1,0,1,8,0,0,8,8,2,0,2,0,2,3,0,3,0,3
30,นครราชสีมา,กุมภาพันธ์,02,2560,11,9,2,0,11,3,2,1,0,3,1,1,0,0,1,3,3,0,0,3,1,1,0,0,1,3,2,1,0,3
